id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Moves,Street Cipher,hip-hop,confident,0.78,96,0.72,0.85,0.08
12,Velvet Touch,Mira Sol,r&b,romantic,0.55,88,0.76,0.74,0.31
13,Autumn Sonata,Clara Voss,classical,peaceful,0.22,66,0.62,0.28,0.97
14,Iron Descent,Fracture Point,metal,angry,0.97,168,0.22,0.55,0.03
15,Dust Road Memories,Hank Hollow,country,nostalgic,0.48,84,0.68,0.62,0.75
16,Pulse Override,Digital Surge,edm,energetic,0.95,140,0.80,0.93,0.02
17,Fading Lamplight,The Wren Sisters,folk,melancholic,0.30,74,0.38,0.45,0.91
18,Island Breeze,Coral Riddim,reggae,uplifting,0.58,76,0.88,0.80,0.42
19,Empty Hallways,Vera Lane,soul,sad,0.45,68,0.29,0.51,0.63
20,Static Collapse,Neural Drift,drum and bass,anxious,0.88,174,0.44,0.76,0.06
